Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.237 0.448 -9.962 |0.854 -0.244 1.404 |17667
-0.234 0.467 -9.976 |0.793 -0.183 1.404 |16125
-0.239 0.486 -9.959 |0.793 -0.183 1.343 |17500
-0.241 0.484 -9.962 |0.793 -0.183 1.282 |17291
-0.208 0.488 -9.938 |0.732 -0.183 1.282 |16333
-0.208 0.469 -9.926 |0.732 -0.244 1.282 |16208
-0.225 0.455 -9.943 |0.732 -0.244 1.282 |15834
-0.234 0.467 -9.966 |0.732 -0.183 1.343 |16292
-0.232 0.484 -9.919 |0.793 -0.244 1.404 |16250
-0.227 0.496 -9.917 |0.732 -0.244 1.343 |16333
-0.232 0.479 -9.947 |0.671 -0.244 1.282 |53917
-0.194 0.464 -9.962 |0.793 -0.305 1.282 |16084
-0.186 0.450 -10.002 |0.854 -0.244 1.343 |23084
-0.201 0.440 -9.962 |0.854 -0.122 1.404 |17583
-0.210 0.467 -9.905 |0.671 -0.061 1.404 |17042
-0.229 0.472 -9.938 |0.549 -0.122 1.343 |16667
-0.234 0.452 -9.905 |0.610 -0.244 1.343 |15833
-0.263 0.450 -9.838 |0.671 -0.427 1.404 |15792
-0.277 0.460 -9.867 |0.610 -0.366 1.343 |16208
-0.256 0.448 -9.893 |0.610 -0.183 1.282 |49375
-0.249 0.443 -9.898 |0.610 -0.183 1.343 |18208
-0.268 0.443 -9.876 |0.610 -0.244 1.465 |16167
-0.268 0.443 -9.876 |0.488 -0.183 1.404 |16042
-0.227 0.460 -9.857 |0.427 -0.183 1.465 |17000
-0.249 0.457 -9.931 |0.488 -0.244 1.526 |16000
-0.239 0.440 -9.959 |0.488 -0.244 1.404 |16000
-0.208 0.450 -9.926 |0.488 -0.244 1.404 |16125
-0.227 0.460 -9.900 |0.488 -0.183 1.282 |17667
-0.222 0.460 -9.905 |0.427 -0.122 1.343 |20834
