Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
0.005 9.829 -0.214 |0.549 -1.038 0.000 |16292
-0.005 9.843 -0.268 |0.488 -0.916 -0.061 |16500
0.002 9.841 -0.204 |0.427 -0.977 -0.122 |16458
0.005 9.829 -0.228 |0.549 -1.099 -0.061 |16250
0.002 9.836 -0.299 |0.732 -1.038 0.000 |16375
0.005 9.872 -0.252 |0.732 -0.916 -0.061 |23500
0.005 9.872 -0.252 |0.671 -0.916 -0.061 |17458
-0.012 9.882 -0.249 |0.549 -0.977 -0.183 |55167
-0.026 9.874 -0.254 |0.488 -0.977 -0.305 |16541
-0.024 9.858 -0.273 |0.549 -1.038 -0.183 |17167
-0.019 9.867 -0.242 |0.671 -1.038 0.000 |16083
-0.014 9.882 -0.209 |0.671 -0.916 0.000 |16709
-0.031 9.846 -0.285 |0.793 -0.977 -0.122 |16500
-0.048 9.860 -0.330 |0.793 -1.160 -0.061 |16583
-0.048 9.903 -0.340 |0.671 -1.099 -0.061 |16458
-0.048 9.903 -0.340 |0.610 -0.854 -0.122 |16417
-0.045 9.877 -0.356 |0.610 -0.854 -0.183 |16166
-0.026 9.846 -0.340 |0.671 -1.038 -0.122 |16917
0.005 9.846 -0.309 |0.610 -1.038 0.000 |55708
-0.045 9.848 -0.271 |0.549 -0.916 0.000 |16209
-0.005 9.805 -0.295 |0.488 -0.916 -0.061 |16459
0.000 9.810 -0.273 |0.488 -0.977 -0.061 |16625
-0.024 9.834 -0.292 |0.610 -1.038 0.000 |16042
-0.024 9.834 -0.292 |0.610 -1.038 0.000 |16125
-0.038 9.836 -0.309 |0.732 -1.038 -0.061 |16208
-0.026 9.846 -0.325 |0.671 -0.977 -0.183 |16084
-0.007 9.831 -0.295 |0.610 -0.977 -0.305 |16250
-0.026 9.829 -0.268 |0.610 -1.099 -0.244 |55708
-0.038 9.855 -0.297 |0.610 -1.099 -0.122 |17458
-0.029 9.843 -0.292 |0.610 -1.099 -0.122 |22083
-0.002 9.836 -0.254 |0.610 -1.038 -0.183 |55958
0.022 9.829 -0.249 |0.549 -0.916 0.061 |16500
-0.007 9.846 -0.238 |0.610 -0.916 0.061 |16583
-0.019 9.870 -0.240 |0.610 -0.977 0.061 |16792
-0.010 9.870 -0.257 |0.610 -0.916 0.000 |16666
-0.029 9.860 -0.273 |0.610 -0.916 0.000 |16458
-0.036 9.831 -0.299 |0.610 -0.977 0.061 |16542
-0.022 9.841 -0.283 |0.671 -0.977 0.061 |16833
0.000 9.846 -0.249 |0.793 -1.038 -0.061 |16500
0.005 9.838 -0.292 |0.793 -1.038 -0.122 |16750
0.010 9.853 -0.337 |0.671 -1.099 -0.122 |16542
0.005 9.846 -0.273 |0.549 -1.099 -0.122 |16875
-0.012 9.858 -0.271 |0.610 -0.977 -0.122 |222000
-0.012 9.855 -0.309 |0.610 -0.916 0.061 |19375
-0.019 9.836 -0.287 |0.610 -0.977 0.061 |16458
0.007 9.838 -0.266 |0.488 -1.038 0.000 |16250
0.010 9.834 -0.235 |0.488 -1.221 0.000 |15958
-0.014 9.846 -0.254 |0.488 -1.160 -0.122 |56292
-0.010 9.850 -0.290 |0.610 -0.916 -0.183 |16583
0.007 9.858 -0.257 |0.732 -0.916 -0.061 |16417
0.012 9.819 -0.228 |0.793 -0.977 -0.061 |16333
-0.029 9.795 -0.254 |0.793 -1.099 -0.122 |16583
-0.036 9.853 -0.285 |0.671 -1.038 -0.244 |16583
-0.019 9.877 -0.249 |0.671 -0.916 -0.244 |22167
-0.010 9.848 -0.235 |0.610 -0.977 -0.183 |18708
-0.019 9.841 -0.271 |0.610 -1.160 -0.183 |16917
-0.038 9.862 -0.285 |0.671 -1.160 -0.183 |16292
-0.031 9.882 -0.280 |0.671 -1.038 -0.061 |16208
-0.010 9.855 -0.211 |0.671 -1.099 0.061 |55834
-0.019 9.815 -0.209 |0.671 -1.160 0.061 |16458
-0.041 9.838 -0.278 |0.610 -1.160 0.061 |16334
-0.038 9.827 -0.290 |0.610 -1.099 0.122 |16625
-0.017 9.819 -0.268 |0.671 -1.038 0.061 |16417
0.007 9.850 -0.223 |0.610 -1.099 -0.061 |16500
-0.005 9.831 -0.192 |0.549 -1.099 -0.183 |16291
-0.019 9.827 -0.228 |0.610 -1.099 -0.244 |16125
-0.022 9.831 -0.271 |0.610 -1.221 -0.122 |16542
-0.029 9.807 -0.252 |0.549 -1.282 0.061 |56083
-0.031 9.853 -0.219 |0.427 -1.160 0.122 |16709
-0.002 9.891 -0.242 |0.427 -1.038 0.122 |16333
-0.019 9.874 -0.285 |0.549 -0.977 -0.061 |16417
-0.060 9.846 -0.295 |0.549 -1.038 -0.122 |16334
-0.043 9.815 -0.266 |0.427 -1.221 0.000 |16125
-0.062 9.827 -0.278 |0.488 -1.221 0.061 |16291
-0.062 9.827 -0.278 |0.488 -1.038 -0.061 |16291
-0.045 9.848 -0.266 |0.549 -1.038 -0.122 |16291
-0.019 9.877 -0.247 |0.610 -1.221 0.000 |16250
-0.045 9.874 -0.278 |0.610 -1.282 -0.061 |16209
-0.057 9.841 -0.287 |0.671 -1.221 -0.122 |56333
-0.041 9.843 -0.259 |0.793 -1.099 -0.061 |16125
-0.036 9.836 -0.295 |0.671 -1.099 -0.061 |16333
-0.031 9.848 -0.344 |0.549 -1.099 -0.061 |16542
-0.026 9.858 -0.347 |0.549 -1.099 -0.061 |16334
-0.026 9.867 -0.302 |0.671 -1.221 0.000 |15791
-0.014 9.884 -0.304 |0.671 -1.221 0.061 |16292
-0.017 9.879 -0.295 |0.610 -1.099 0.061 |16125
-0.017 9.879 -0.295 |0.549 -1.099 0.061 |16125
-0.048 9.846 -0.280 |0.610 -1.282 0.000 |55125
-0.007 9.855 -0.344 |0.549 -1.282 0.061 |16959
-0.029 9.870 -0.292 |0.488 -1.221 -0.061 |16708
-0.045 9.858 -0.278 |0.549 -1.282 -0.244 |16167
-0.026 9.850 -0.295 |0.732 -1.282 -0.305 |16000
-0.012 9.858 -0.321 |0.793 -1.221 -0.244 |16291
-0.007 9.874 -0.297 |0.671 -1.160 -0.183 |16125
-0.007 9.874 -0.297 |0.671 -1.099 -0.122 |16750
-0.010 9.872 -0.276 |0.610 -0.977 -0.061 |16625
-0.019 9.884 -0.280 |0.610 -0.977 0.000 |16666
-0.014 9.872 -0.295 |0.610 -1.221 0.000 |16042
-0.022 9.870 -0.261 |0.671 -1.404 -0.061 |56500
-0.022 9.836 -0.264 |0.671 -1.404 -0.183 |16167
-0.005 9.810 -0.276 |0.732 -1.343 -0.244 |16458
-0.005 9.781 -0.287 |0.671 -1.160 -0.183 |16208
-0.026 9.812 -0.283 |0.427 -1.099 -0.122 |16292
-0.048 9.848 -0.302 |0.427 -1.282 0.000 |73833
-0.060 9.836 -0.292 |0.610 -1.343 0.000 |15958
-0.060 9.836 -0.292 |0.732 -1.343 0.000 |16125
-0.060 9.827 -0.238 |0.671 -1.282 -0.061 |16375
-0.017 9.817 -0.280 |0.549 -1.160 -0.183 |196125
-0.026 9.884 -0.304 |0.488 -1.221 -0.122 |16667
-0.019 9.858 -0.325 |0.610 -1.160 -0.061 |22209
-0.038 9.836 -0.266 |0.671 -1.099 0.000 |17042
-0.043 9.841 -0.228 |0.671 -1.160 -0.122 |17541
-0.012 9.841 -0.209 |0.671 -1.221 -0.305 |16292
-0.014 9.858 -0.245 |0.671 -1.221 -0.366 |16500
-0.022 9.867 -0.271 |0.671 -1.160 -0.244 |17708
-0.014 9.874 -0.304 |0.549 -1.038 -0.061 |17375
-0.019 9.884 -0.333 |0.549 -1.160 0.061 |16792
-0.019 9.906 -0.295 |0.610 -1.343 0.183 |16333
-0.019 9.906 -0.295 |0.610 -1.343 0.122 |55667
-0.033 9.822 -0.299 |0.671 -1.282 0.000 |16209
-0.053 9.795 -0.247 |0.671 -1.221 -0.061 |16625
-0.036 9.795 -0.216 |0.671 -1.221 0.000 |16292
-0.014 9.855 -0.285 |0.610 -1.282 -0.122 |16667
-0.036 9.862 -0.299 |0.488 -1.282 -0.305 |16375
-0.036 9.862 -0.299 |0.427 -1.343 -0.244 |16292
-0.031 9.862 -0.292 |0.549 -1.343 -0.122 |16417
-0.024 9.846 -0.304 |0.549 -1.221 -0.183 |16125
-0.019 9.831 -0.321 |0.488 -1.221 -0.122 |55958
0.002 9.855 -0.344 |0.366 -1.282 -0.061 |17209
-0.022 9.846 -0.271 |0.305 -1.221 -0.061 |18750
-0.010 9.853 -0.257 |0.366 -1.221 -0.061 |17166
-0.010 9.853 -0.257 |0.488 -1.160 -0.122 |55709
0.012 9.846 -0.292 |0.488 -1.282 -0.183 |16125
-0.017 9.843 -0.261 |0.488 -1.343 -0.183 |16583
-0.033 9.831 -0.266 |0.427 -1.404 -0.122 |16959
-0.017 9.829 -0.261 |0.427 -1.343 -0.061 |16375
-0.026 9.836 -0.283 |0.366 -1.221 -0.061 |16375
-0.033 9.858 -0.273 |0.366 -1.160 -0.183 |16583
-0.038 9.858 -0.252 |0.366 -1.099 -0.244 |55917
-0.053 9.848 -0.285 |0.366 -1.099 -0.183 |16375
-0.041 9.827 -0.273 |0.244 -1.099 -0.061 |16542
-0.038 9.805 -0.240 |0.183 -1.221 -0.061 |16792
-0.031 9.838 -0.266 |0.183 -1.221 -0.122 |16292
-0.019 9.853 -0.283 |0.122 -1.221 -0.244 |16500
-0.022 9.862 -0.278 |0.122 -1.160 -0.244 |16458
-0.002 9.843 -0.285 |0.061 -1.160 -0.122 |16667
-0.007 9.838 -0.257 |0.183 -1.221 0.000 |16291
0.010 9.841 -0.226 |0.305 -1.282 0.061 |56125
0.026 9.822 -0.223 |0.366 -1.282 0.000 |16542
0.007 9.855 -0.233 |0.366 -1.282 -0.061 |16209
-0.007 9.879 -0.285 |0.244 -1.282 0.000 |16125
-0.010 9.836 -0.283 |0.122 -1.343 -0.061 |16500
-0.014 9.831 -0.273 |0.183 -1.404 -0.061 |16083
-0.019 9.870 -0.280 |0.183 -1.343 -0.061 |16417
-0.017 9.865 -0.252 |0.183 -1.343 0.061 |16250
-0.033 9.865 -0.245 |0.183 -1.282 0.000 |50542
-0.033 9.879 -0.333 |0.183 -1.160 -0.122 |16542
-0.012 9.858 -0.354 |0.305 -1.160 -0.183 |16834
-0.007 9.848 -0.314 |0.305 -1.099 -0.183 |55917
-0.022 9.853 -0.321 |0.244 -1.160 -0.122 |16666
-0.041 9.872 -0.328 |0.183 -1.221 -0.061 |16459
-0.038 9.877 -0.306 |0.122 -1.221 0.061 |16459
-0.041 9.841 -0.299 |0.122 -1.282 0.122 |16583
-0.038 9.805 -0.278 |0.122 -1.282 0.183 |77458
-0.026 9.788 -0.257 |0.122 -1.221 0.122 |22958
-0.019 9.822 -0.344 |0.122 -1.160 0.000 |17459
-0.012 9.841 -0.304 |0.122 -1.221 -0.122 |16542
-0.007 9.838 -0.264 |0.244 -1.343 -0.122 |55292
-0.010 9.834 -0.299 |0.305 -1.465 -0.061 |16875
-0.033 9.827 -0.233 |0.183 -1.404 0.061 |17916
-0.024 9.824 -0.264 |0.000 -1.160 0.061 |16500
-0.026 9.815 -0.287 |-0.183 -1.282 0.000 |16084
-0.026 9.838 -0.266 |-0.061 -1.465 -0.122 |17000
-0.019 9.846 -0.287 |-0.061 -1.526 -0.183 |319209
-0.031 9.834 -0.264 |-0.061 -1.404 -0.183 |17000
-0.031 9.810 -0.254 |0.122 -1.343 -0.061 |16750
-0.012 9.807 -0.261 |0.183 -1.343 0.183 |16209
-0.007 9.819 -0.302 |0.061 -1.343 0.122 |16917
-0.038 9.846 -0.325 |0.000 -1.404 0.000 |55084
-0.048 9.874 -0.304 |0.061 -1.465 0.000 |16291
-0.043 9.846 -0.292 |0.122 -1.465 0.000 |16333
-0.014 9.843 -0.299 |0.061 -1.465 -0.061 |16542
-0.010 9.846 -0.304 |0.000 -1.404 0.000 |21875
-0.029 9.850 -0.302 |0.061 -1.404 0.122 |17625
-0.038 9.838 -0.309 |0.000 -1.465 0.122 |16583
-0.036 9.831 -0.266 |-0.183 -1.404 -0.061 |16083
-0.038 9.874 -0.240 |-0.183 -1.404 -0.061 |56250
-0.029 9.879 -0.299 |-0.122 -1.282 -0.183 |16583
-0.022 9.855 -0.314 |-0.183 -1.221 -0.183 |16416
-0.012 9.829 -0.266 |-0.305 -1.160 -0.061 |16458
-0.010 9.860 -0.245 |-0.305 -1.221 0.122 |16708
-0.033 9.862 -0.290 |-0.305 -1.404 0.183 |16958
-0.012 9.824 -0.261 |-0.366 -1.404 0.061 |16375
0.007 9.831 -0.238 |-0.427 -1.343 -0.122 |16583
-0.014 9.819 -0.257 |-0.427 -1.343 -0.122 |16459
-0.029 9.807 -0.290 |-0.427 -1.282 -0.183 |16167
-0.026 9.846 -0.245 |-0.366 -1.282 -0.122 |16417
-0.019 9.853 -0.219 |-0.244 -1.282 0.000 |16917
-0.017 9.846 -0.318 |-0.244 -1.221 0.000 |16083
-0.022 9.865 -0.311 |-0.244 -1.221 0.061 |16958
-0.019 9.867 -0.271 |-0.183 -1.282 0.000 |16042
-0.022 9.874 -0.259 |-0.183 -1.221 -0.061 |16416
-0.041 9.829 -0.276 |-0.305 -1.160 0.000 |16542
-0.010 9.805 -0.280 |-0.427 -1.160 0.183 |16459
0.007 9.831 -0.295 |-0.488 -1.221 0.122 |16375
-0.036 9.824 -0.311 |-0.488 -1.282 -0.122 |16292
-0.036 9.824 -0.311 |-0.427 -1.404 -0.244 |16084
