Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.096 -0.541 -9.874 |-0.183 -0.061 0.122 |16834
-0.112 -0.507 -9.874 |-0.183 -0.061 0.183 |21625
-0.086 -0.491 -9.843 |-0.122 -0.122 0.183 |18125
-0.091 -0.503 -9.879 |-0.183 -0.122 0.244 |19958
-0.110 -0.481 -9.969 |-0.122 0.000 0.244 |40000
-0.105 -0.479 -9.902 |0.183 0.000 0.061 |22584
-0.074 -0.500 -9.890 |0.244 -0.061 0.305 |17750
-0.084 -0.491 -9.955 |0.183 -0.061 0.366 |34458
-0.084 -0.522 -9.947 |0.061 -0.122 0.305 |38333
-0.067 -0.484 -9.905 |0.000 -0.122 0.183 |32583
-0.129 -0.515 -9.952 |-0.061 0.000 0.366 |35583
-0.146 -0.500 -9.940 |-0.122 0.061 0.183 |57334
-0.112 -0.541 -9.990 |-0.183 -0.183 0.427 |34667
-0.091 -0.486 -9.947 |-0.122 -0.061 0.305 |31958
-0.084 -0.531 -9.936 |0.000 0.000 0.122 |30708
-0.079 -0.481 -9.898 |0.000 0.061 0.122 |19500
-0.100 -0.481 -9.895 |0.061 0.061 0.244 |30875
-0.076 -0.524 -9.928 |0.061 -0.061 0.366 |31208
-0.086 -0.527 -9.940 |0.061 -0.061 0.427 |56333
-0.069 -0.486 -9.997 |0.061 -0.061 0.122 |16708
-0.074 -0.510 -9.950 |0.000 -0.183 0.183 |16625
-0.074 -0.510 -9.950 |-0.061 -0.305 0.244 |16125
-0.069 -0.536 -9.905 |-0.061 -0.305 0.244 |16208
-0.072 -0.567 -9.974 |0.000 -0.183 0.305 |16250
-0.110 -0.567 -9.988 |0.000 -0.061 0.366 |16417
-0.117 -0.517 -9.931 |0.000 -0.061 0.366 |16417
-0.103 -0.484 -9.890 |0.061 0.000 0.366 |16542
-0.093 -0.484 -9.850 |0.000 0.000 0.305 |16416
-0.105 -0.500 -9.869 |-0.061 -0.122 0.183 |18458
-0.120 -0.505 -9.917 |-0.061 -0.183 0.244 |16417
