Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.767 0.129 -0.083 |1.038 0.122 0.122 |33042
9.758 0.148 -0.045 |0.977 -0.061 0.122 |18125
9.784 0.120 -0.076 |0.977 -0.061 0.000 |17292
9.765 0.113 -0.114 |1.038 0.000 -0.122 |17083
9.743 0.120 -0.064 |1.038 0.122 -0.061 |20209
9.758 0.093 -0.036 |1.038 0.183 0.061 |17084
9.767 0.129 -0.078 |0.977 0.122 0.061 |16709
9.770 0.151 -0.088 |0.977 0.183 0.000 |16208
9.758 0.103 -0.064 |1.099 0.244 0.061 |18167
9.758 0.103 -0.064 |1.099 0.244 0.122 |16500
9.748 0.105 -0.033 |1.038 0.305 0.061 |16667
9.760 0.151 -0.045 |0.977 0.305 -0.061 |17167
9.775 0.120 -0.076 |1.038 0.305 -0.122 |16917
9.748 0.089 -0.069 |0.977 0.244 -0.061 |17250
9.751 0.098 -0.083 |0.977 0.305 -0.061 |16333
9.794 0.108 -0.069 |0.977 0.305 -0.061 |16541
9.796 0.141 -0.055 |1.038 0.366 -0.061 |17166
9.794 0.113 -0.052 |1.038 0.244 0.061 |16708
9.796 0.081 -0.086 |1.160 0.366 0.122 |26542
9.760 0.122 -0.069 |1.221 0.427 0.061 |20250
9.758 0.160 -0.045 |1.099 0.427 0.061 |17125
9.787 0.144 -0.078 |0.977 0.366 -0.061 |16209
9.765 0.127 -0.124 |0.977 0.366 -0.061 |16291
9.760 0.134 -0.154 |1.038 0.305 -0.183 |51375
9.746 0.117 -0.102 |1.038 0.244 -0.183 |16708
9.727 0.110 -0.069 |1.099 0.244 -0.183 |16583
9.753 0.136 -0.112 |1.099 0.366 -0.061 |16458
9.784 0.127 -0.145 |1.038 0.549 0.061 |16042
9.777 0.101 -0.105 |0.916 0.549 0.122 |16750
9.770 0.115 -0.067 |1.038 0.427 0.183 |16625
9.810 0.110 -0.069 |1.160 0.427 0.122 |16292
9.801 0.124 -0.050 |1.282 0.427 0.000 |16208
9.782 0.141 -0.069 |1.160 0.366 -0.122 |16542
9.782 0.141 -0.069 |0.977 0.366 -0.122 |16125
9.798 0.136 -0.112 |0.977 0.366 -0.122 |16291
9.808 0.134 -0.102 |1.038 0.366 0.000 |15917
9.794 0.115 -0.133 |1.038 0.366 0.061 |16834
9.772 0.091 -0.131 |1.038 0.427 0.000 |15875
9.787 0.093 -0.083 |0.977 0.427 -0.122 |18042
9.779 0.115 -0.040 |0.916 0.488 -0.122 |16833
9.748 0.141 -0.059 |0.916 0.488 -0.122 |16417
